material_id,formula,n_X,h,k,l,frac_exact6,mean_inplane_count,median_inplane_count,mean_psi6_exact6,mean_psi4_exact6,psi6_minus_psi4,psi6_over_psi4,strict_exact6_all,fallback_sixfold,group,target_formula
mp-25470,AlCl3,3,0,0,1,1.0,6.0,6.0,0.9999999999999662,1.2233068292286336e-07,0.9999998776692833,8174564.026839649,True,True,known,AlCl3
mp-23204,FeCl3,6,0,0,1,1.0,6.0,6.0,0.8580269697264852,0.13989575503353135,0.7181312146929538,6.133330990070616,True,True,known,FeCl3
mp-588,GaF3,6,2,1,1,0.6666666666666666,5.333333333333333,6.0,0.799588181465963,0.08966998518485014,0.7099181962811129,8.91701029968559,False,True,known,GaF3
mp-570219,InBr3,6,1,1,-1,1.0,6.0,6.0,0.9838317533239079,0.027013120794524406,0.9568186325293835,36.42051434217596,True,True,known,InBr3
mp-29831,TaCl5,30,1,0,0,1.0,6.0,6.0,0.946570025793441,0.07379396797671683,0.8727760578167241,12.827200538831288,True,True,known,TaCl5
mp-569175,ZrCl4,8,1,-1,2,1.0,6.0,6.0,0.9656545292500083,0.04244577190467623,0.923208757345332,22.750311418971336,True,True,known,ZrCl4
mp-30952,GaCl3,6,1,1,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,False,False,known,GaCl3
mp-567789,InI3,12,1,2,-2,1.0,6.0,6.0,0.9835164234441537,0.022427568446745816,0.9610888549974079,43.853011786788656,True,True,blind,InI3
mp-23288,AlBr3,12,0,1,-1,1.0,6.0,6.0,0.9635569046773521,0.06537315349157247,0.8981837511857796,14.739336458682054,True,True,blind,AlBr3
mp-22909,ZnCl2,4,1,1,-2,1.0,6.0,6.0,0.9763812087681,0.07720263188865203,0.8991785768794479,12.646993824981472,True,True,blind,ZnCl2
mp-29179,SnCl2,16,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False,blind,SnCl2
